DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
859.131, 127.4544
859.863, 127.4206
860.596, 127.4388
861.328, 127.4724
862.061, 127.3563
862.793, 127.5674
863.525, 127.5334
864.258, 127.5215
864.990, 127.6082
865.723, 127.5870
866.455, 127.5954
867.188, 127.5685
867.920, 127.5909
868.652, 127.5380
869.385, 127.5463
870.117, 127.5695
870.850, 127.6055
871.582, 127.6156
872.314, 127.5598
873.047, 126.6898
873.779, 127.4888
874.512, 127.6041
875.244, 127.5732
875.977, 127.6093
876.709, 127.6035
877.441, 127.6019
878.174, 127.5607
878.906, 127.6587
879.639, 127.5726
880.371, 127.7081
881.104, 127.6736
881.836, 127.6644
882.568, 127.6797
883.301, 127.5971
884.033, 127.7021
884.766, 127.7419
885.498, 127.6867
886.230, 127.8096
886.963, 127.7000
887.695, 127.7595
888.428, 127.7255
889.160, 127.7110
889.893, 127.6259
890.625, 127.6812
891.357, 127.7968
892.090, 127.8084
892.822, 127.7102
893.555, 127.6519
894.287, 127.6677
895.020, 127.7403
895.752, 127.7309
896.484, 127.7429
897.217, 127.8410
897.949, 127.8869
898.682, 127.9300
899.414, 127.7579
900.146, 127.9086
900.879, 127.8982
901.611, 127.8853
902.344, 127.8850
903.076, 127.8833
903.809, 127.8964
904.541, 127.9397
905.273, 127.8895
906.006, 127.9342
906.738, 127.9540
907.471, 127.9366
908.203, 127.9802
908.936, 127.8219
909.668, 127.9017
910.400, 127.8892
911.133, 127.9884
911.865, 127.9305
912.598, 128.0404
913.330, 127.9265
914.063, 128.0504
914.795, 127.9531
915.527, 127.9659
916.260, 128.1026
916.992, 128.0417
917.725, 127.9388
918.457, 127.9501
919.189, 128.0248
919.922, 128.0148
920.654, 128.0144
921.387, 128.0244
922.119, 128.0180
922.852, 128.0587
923.584, 127.9759
924.316, 128.0561
925.049, 128.0271
925.781, 128.0520
926.514, 127.9854
927.246, 127.9799
927.979, 128.0003
928.711, 128.0209
929.443, 128.0487
930.176, 128.0067
930.908, 127.9617
931.641, 127.8826
932.373, 128.0732
933.105, 128.0019
933.838, 128.0226
934.570, 127.9225
935.303, 128.0868
936.035, 127.9350
936.768, 128.0916
937.500, 128.1501
938.232, 128.0572
938.965, 128.1249
939.697, 128.1668
940.430, 128.2107
941.162, 128.1663
941.895, 128.2043
942.627, 128.1670
943.359, 128.2359
944.092, 128.1829
944.824, 128.1091
945.557, 128.1540
946.289, 128.2150
947.021, 128.1561
947.754, 128.2047
948.486, 128.2122
949.219, 128.2609
949.951, 128.1908
950.684, 128.2438
951.416, 128.2471
952.148, 128.2239
952.881, 128.2635
953.613, 128.1503
954.346, 128.1603
955.078, 128.2208
955.811, 128.1499
956.543, 128.1291
957.275, 128.1730
958.008, 128.1395
958.740, 128.1819
959.473, 128.2212
960.205, 128.1010
960.938, 128.1988
961.670, 128.2461
962.402, 128.2078
963.135, 128.1881
963.867, 128.2578
964.600, 128.2063
965.332, 128.3327
966.064, 128.3324
966.797, 128.2595
967.529, 128.3244
968.262, 128.3193
968.994, 128.2387
969.727, 128.2907
970.459, 128.1973
971.191, 128.2889
971.924, 128.2780
972.656, 128.2784
973.389, 128.2096
974.121, 128.2549
974.854, 128.1750
975.586, 128.2976
976.318, 128.1716
977.051, 128.1856
977.783, 128.2769
978.516, 128.3027
979.248, 128.3381
979.980, 128.4876
980.713, 128.2646
981.445, 128.4401
982.178, 128.2076
982.910, 128.3630
983.643, 128.3132
984.375, 128.3866
985.107, 128.5041
985.840, 128.4841
986.572, 128.4414
987.305, 128.5138
988.037, 128.3677
988.770, 128.6164
989.502, 128.5192
990.234, 128.4767
990.967, 128.6092
991.699, 128.6010
