DFT, Frequency Response Magnitude
Numpoints, 2048
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
21585.938, 76.3238
21609.375, 75.6494
21632.813, 71.5664
21656.250, 74.9474
21679.688, 69.3818
21703.125, 68.5297
21726.563, 71.5322
21750.000, 71.6208
21773.438, 75.6286
21796.875, 69.4118
21820.313, 68.2259
21843.750, 69.3784
21867.188, 59.7276
21890.625, 66.5054
21914.063, 62.1625
21937.500, 63.7781
21960.938, 67.8422
21984.375, 64.9947
22007.813, 63.3411
22031.250, 69.9764
22054.688, 57.6886
22078.125, 68.1860
22101.563, 70.5792
22125.000, 74.4894
22148.438, 59.3016
22171.875, 51.4952
22195.313, 64.9244
22218.750, 72.0474
22242.188, 61.8337
22265.625, 60.4424
22289.063, 54.2958
22312.500, 59.9763
22335.938, 64.2998
22359.375, 64.0424
22382.813, 52.3404
22406.250, 55.2747
22429.688, 64.1848
22453.125, 63.2168
22476.563, 68.3773
22500.000, 72.4501
22523.438, 62.8077
22546.875, 64.8650
22570.313, 68.6300
22593.750, 63.2502
22617.188, 68.7228
22640.625, 66.1486
22664.063, 67.8235
22687.500, 63.0584
22710.938, 64.2296
22734.375, 64.2125
22757.813, 68.9383
22781.250, 55.8024
22804.688, 50.1371
22828.125, 55.9391
22851.563, 58.1993
22875.000, 70.9025
22898.438, 69.7308
22921.875, 65.5981
22945.313, 56.3523
22968.750, 54.0655
22992.188, 59.6339
23015.625, 49.9984
23039.063, 64.9283
23062.500, 61.3074
23085.938, 66.2993
23109.375, 64.8031
23132.813, 65.9380
23156.250, 60.8782
23179.688, 61.7701
23203.125, 60.8149
23226.563, 56.4358
23250.000, 56.8398
23273.438, 57.2490
23296.875, 59.8926
23320.313, 57.6923
23343.750, 53.7477
23367.188, 59.0250
23390.625, 63.7724
23414.063, 50.4327
23437.500, 56.1195
23460.938, 56.0211
23484.375, 56.6517
23507.813, 60.4861
23531.250, 63.9189
23554.688, 48.0564
23578.125, 49.1406
23601.563, 56.3493
23625.000, 45.5632
23648.438, 56.0533
23671.875, 59.7904
23695.313, 54.8238
23718.750, 54.1696
23742.188, 52.0597
23765.625, 49.4288
23789.063, 49.0940
23812.500, 45.5337
23835.938, 43.3876
23859.375, 50.6165
23882.813, 48.4953
23906.250, 49.1551
23929.688, 44.8467
23953.125, 52.3539
23976.563, 51.9111
24000.000, 52.6041
24023.438, 49.1377
24046.875, 47.5426
24070.313, 55.4430
24093.750, 55.2891
24117.188, 48.0040
24140.625, 41.0289
24164.063, 56.4818
24187.500, 50.9954
24210.938, 57.1364
24234.375, 51.2039
24257.813, 55.0925
24281.250, 57.3198
24304.688, 56.6840
24328.125, 54.4323
24351.563, 57.5247
24375.000, 51.9231
24398.438, 48.6036
24421.875, 54.6591
24445.313, 58.5148
24468.750, 55.1409
24492.188, 59.5986
24515.625, 57.9513
24539.063, 56.4859
24562.500, 55.4523
24585.938, 58.5654
24609.375, 60.4942
24632.813, 60.3456
24656.250, 57.4762
24679.688, 61.2835
24703.125, 61.5844
24726.563, 62.1442
24750.000, 61.0961
24773.438, 56.6513
24796.875, 59.3946
24820.313, 62.0787
24843.750, 61.6062
24867.188, 58.0340
24890.625, 63.8031
24914.063, 60.8026
24937.500, 63.3275
24960.938, 62.4091
24984.375, 61.3616
25007.813, 61.3060
25031.250, 63.8104
25054.688, 60.4937
25078.125, 64.6956
25101.563, 60.9398
25125.000, 63.2115
25148.438, 63.4241
25171.875, 63.0662
